file,cycle_number,dv_dt,dq_dt,internal_resistance,power,overvoltage,soc_extreme,final_temp,temp_rise
CY25-05_1-#1.csv,1.0,0.010056322284357065,2499.7989579029927,0.05411239316488603,10.273046483662394,4.2002273,2487.412028384874,25.141444348982613,0.1414443489826129
CY25-05_1-#1.csv,2.0,0.009976245626043797,2499.569644596834,0.05433245186665884,10.272020027847773,4.2001486,2488.561065742857,25.1,0.1
CY25-05_1-#1.csv,3.0,0.010051065618239319,2499.582019742028,0.05437251132196695,10.271606902367036,4.2002273,2487.499691439316,25.1,0.1
CY25-05_1-#1.csv,4.0,0.010149508941304028,2499.371777381145,0.05449768982465131,10.26995075630439,4.2002273,2484.893614371004,25.1,0.1
CY25-05_1-#1.csv,5.0,0.010194148936647622,2499.456472440671,0.0552911022081265,10.27067592170848,4.2001882,2481.7627454287062,25.1,0.1
CY25-05_1-#1.csv,6.0,0.010247968931053552,2499.5852132963823,0.05491387473368685,10.26947867764717,4.2001486,2479.25086133834,25.1,0.1
CY25-05_1-#1.csv,7.0,0.010301778925420727,2499.678931060044,0.05574247073748413,10.268587450030855,4.2001095,2476.423771322339,25.13516422053442,0.13516422053442195
CY25-05_1-#1.csv,8.0,0.010337222255056972,2499.6973979526488,0.055321693965092844,10.267901250352592,4.2001486,2473.289513056479,25.1,0.1
CY25-05_1-#1.csv,9.0,0.010334602255310223,2499.618536828063,0.054975681067100275,10.26718051494121,4.2002273,2471.6119804240093,25.161845014031027,0.1618450140310278
CY25-05_1-#1.csv,10.0,0.010461925575402778,2499.58260690017,0.05629851777717969,10.26635917261891,4.2001882,2469.777744826154,25.1,0.1
CY25-05_1-#1.csv,11.0,0.010532808901362847,2499.633968857703,0.05693299563138413,10.264908888756546,4.2002273,2467.04772279591,25.1,0.1
CY25-05_1-#1.csv,12.0,0.010539372234011588,2499.7413567371277,0.05698722409855277,10.26356444469928,4.2001486,2464.518812443388,25.1,0.1
CY25-05_1-#1.csv,13.0,0.010624695558445169,2499.583596939129,0.056528623089793825,10.263795247420688,4.2001486,2462.344659713855,25.14888692022896,0.14888692022896
CY25-05_1-#1.csv,14.0,0.010670642220277925,2499.663129414646,0.056504875051297476,10.26250401036518,4.2001882,2460.2142306119213,25.329522935691976,0.32952293569197566
CY25-05_1-#1.csv,15.0,0.01072577554793313,2499.556689227092,0.05772761578306908,10.260846369995768,4.2001486,2458.222901504107,25.166443896473,0.16644389647300067
CY25-05_1-#1.csv,16.0,0.010770408876537926,2499.577638297173,0.0578746967680076,10.260791382110916,4.2001486,2456.065267555687,25.14805624867749,0.14805624867749045
CY25-05_1-#1.csv,17.0,0.01082159553788629,2499.63401749051,0.05797877865013143,10.259624795577597,4.2001486,2454.0363124417167,25.195516749943174,0.1955167499431752
CY25-05_1-#1.csv,18.0,0.010881978864942268,2499.805267374991,0.05812926237730453,10.258047550013124,4.2001486,2451.927402770694,25.1,0.1
CY25-05_1-#1.csv,19.0,0.01093973885889632,2499.56606564213,0.058713763444659395,10.256334707540457,4.2001486,2449.905131537006,25.27438149736135,0.27438149736135015
CY25-05_1-#1.csv,20.0,0.010950238857801073,2499.522535666201,0.058968540093459004,10.256272291206036,4.2002273,2448.267859185029,25.1,0.1
CY25-05_1-#1.csv,21.0,0.011001435519127538,2499.42594314698,0.058880742563461624,10.255134534518628,4.2002273,2446.946908837908,25.341996630671126,0.3419966306711272
CY25-05_1-#1.csv,22.0,0.011018498850681005,2499.535531416799,0.05851906912135946,10.254566374616333,4.2001882,2445.304790216769,25.1,0.1
CY25-05_1-#1.csv,23.0,0.011113012174134282,2499.565475212504,0.05914613435103122,10.253768013473955,4.2001882,2443.744398970795,25.28012863644484,0.2801286364448392
CY25-05_1-#1.csv,24.0,0.011028995516252792,2499.502629549483,0.058790888618241936,10.252493816068224,4.2001882,2441.740674426366,25.1,0.1
CY25-05_1-#1.csv,25.0,0.011126142172829444,2499.629371055448,0.059491614134582455,10.25200388311191,4.2001882,2441.089924798383,25.426411213263684,0.4264112132636854
CY25-05_1-#1.csv,26.0,0.011151072170185865,2499.624561046184,0.05966148612113381,10.25060051715533,4.2002273,2439.153777916887,25.1,0.1
CY25-05_1-#1.csv,27.0,0.011260028825487482,2499.510242112796,0.059930569847063374,10.250043600782762,4.2002668,2437.815234958975,25.362426131136083,0.3624261311360829
CY25-05_1-#1.csv,28.0,0.011300722154598068,2499.539043135183,0.05939367671360045,10.249502070147372,4.2001882,2435.779761696991,25.1,0.1
CY25-05_1-#1.csv,29.0,0.011354538815651325,2499.332148430201,0.059851841117871576,10.247974643469723,4.2001882,2434.304521088883,25.459872798404852,0.45987279840485096
CY25-05_1-#1.csv,30.0,0.011359792148458763,2499.559604656475,0.06085102171393969,10.246835363199466,4.2001882,2432.897580804063,25.44660615618671,0.44660615618671223
CY25-05_1-#1.csv,31.0,0.011319095485971035,2499.678925151842,0.0597090787784878,10.246152386874881,4.2001882,2431.915788920574,25.562634782946343,0.5626347829463438
CY25-05_1-#1.csv,32.0,0.01139260547832532,2499.655485652333,0.060544604913659816,10.246284848691232,4.2002273,2431.081742275604,25.293448099145365,0.29344809914536396
CY25-05_1-#1.csv,33.0,0.011430675474354283,2499.600696400236,0.06153318567321081,10.244717477728209,4.2001882,2429.219298326107,25.1,0.1
CY25-05_1-#1.csv,34.0,0.01152649879769248,2499.4332327946568,0.06099694982869937,10.243656637857379,4.2002668,2427.680589791914,25.1,0.1
CY25-05_1-#1.csv,35.0,0.011546192129061245,2499.408295443743,0.06131992891787348,10.241343504082678,4.2002668,2426.0140490078547,25.340208641997815,0.3402086419978169
CY25-05_1-#1.csv,36.0,0.011580322125321733,2499.4866506601797,0.06112958388690389,10.240945395768382,4.2001882,2424.807885490551,25.1,0.1
CY25-05_1-#1.csv,37.0,0.011552748794954389,2499.491497583501,0.061303979655045866,10.240683526057374,4.2001882,2423.896127707253,25.1,0.1
CY25-05_1-#1.csv,38.0,0.011527815464221828,2499.53652321357,0.06160440373890512,10.239267530435143,4.2002273,2423.180253338609,25.109999432132295,0.1099994321322936
CY25-05_1-#1.csv,39.0,0.011559315460936114,2499.501067162581,0.061612620360960324,10.238328190876189,4.2001882,2422.534450329124,25.1,0.1
CY25-05_1-#1.csv,40.0,0.011661702117013518,2499.690193217073,0.06290638181982737,10.237872113793506,4.2002273,2420.884202351208,25.223075398517423,0.22307539851742197
CY25-05_1-#1.csv,41.0,0.011727338776743246,2499.657968904028,0.06180888830311343,10.237402206668605,4.2001882,2419.0824246420098,25.116538940197376,0.1165389401973756
CY25-05_1-#1.csv,42.0,0.011724708777017574,2499.547472431178,0.06282323811722662,10.236167338334774,4.2001882,2417.1264646451973,25.178043375441714,0.17804337544171253
CY25-05_1-#1.csv,43.0,0.011744402108296742,2499.640044833632,0.0637524246576501,10.234329992015233,4.2001882,2416.223923548747,25.414285712766166,0.4142857127661661
CY25-05_1-#1.csv,44.0,0.011769342105786637,2499.532347237443,0.06295577301309238,10.233849502317684,4.2002273,2415.301442957974,25.149681610439263,0.14968161043926445
CY25-05_1-#1.csv,45.0,0.011699772112952003,2499.557008025887,0.0627047875967374,10.233011720204638,4.2002273,2414.476226189135,25.50893107996899,0.5089310799689877
CY25-05_1-#1.csv,46.0,0.011790345436837808,2499.679028716284,0.06303869568789115,10.232717766121278,4.2002273,2413.919885110558,25.271090626428485,0.27109062642848625
CY25-05_1-#1.csv,47.0,0.011761465439850224,2499.354955556728,0.06239723770654463,10.230142236471005,4.2001882,2412.5561432363697,25.25815977778748,0.25815977778747967
CY25-05_1-#1.csv,48.0,0.01184678876428364,2499.42759827376,0.06264035555393833,10.229672865604401,4.2002273,2411.872683037263,25.1,0.1
CY25-05_1-#1.csv,49.0,0.011880922094241011,2499.4163704429,0.06384717492966215,10.229286377809446,4.2002273,2410.273821216373,25.38569905270039,0.38569905270038807
CY25-05_1-#1.csv,50.0,0.10202271702825762,2499.45517611399,0.045300201788679315,10.25429126115821,4.2009754,3579.486724757347,25.117108088711547,0.11710808871154704
CY25-05_1-#1.csv,51.0,0.011975431905471776,2499.452654922884,0.06389599061234923,10.22506452018704,4.2002273,2408.272094941629,25.147282198814775,0.14728219881477564
